Sample ID;1D_11;1D_12;1D_13;1D_14;1W_10;1W_7;1W_8;1W_9;2D_19;2D_20;2D_21;2D_22;2W_15;2W_16;2W_17;2W_18;3D_27;3D_28;3D_29;3D_30;3W_23;3W_24;3W_25;3W_26;4D_35;4D_36;4D_37;4D_38;4W_31;4W_32;4W_33;4W_34;5D_43;5D_44;5D_45;5D_46;5W_39;5W_40;5W_41;5W_42;6D_51;6D_52;6D_53;6D_54;6W_47;6W_48;6W_49;6W_50;7D_59;7D_60;7D_61;7D_62;7W_55;7W_56;7W_57;7W_58;8D_67;8D_68;8D_69;8D_70;8W_63;8W_64;8W_65;8W_66;9D_75;9D_76;9D_77;9D_78;9W_71;9W_72;9W_73;9W_74;10D_83;10D_84;10D_85;10D_86;10W_79;10W_80;10W_81;10W_82;11D_91;11D_92;11D_93;11D_94;11W_87;11W_88;11W_89;11W_90;12D_100;12D_101;12D_102;12D_99;12W_95;12W_96;12W_97;12W_98;13D_107;13D_108;13D_109;13D_110;13W_103;13W_104;13W_105;13W_106
Treatment;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered
Glucose ;4985513;4919709;4815177;4409231;7212253;7273318;6749602;7736257;7850925;7586985;9505816;12839549;8157235;8375588;8411090;7271978;4623181;3226589;5501447;5726638;7925220;6934567;6905541;5350766;5954345;4550151;5822949;4091597;6310902;6546625;5081125;5509923;5798609;4479555;3747202;4625945;4617805;4063340;5599680;4823566;3399654;4805416;3876302;5543042;4516109;6265527;6057496;5914372;6127595;3334151;4252387;5786777;2989509;5676418;4317501;5369676;1471958;3402522;3936742;4470902;4104222;3574250;5045379;5293097;1983528;5900182;3914795;4253983;4166707;4055670;6490302;3768048;5723819;5448211;5912340;5221959;4118197;3509188;5751294;5657233;4198510;4906644;6722406;8379063;4132913;4434984;3565990;4223175;10010017;7722794;6458122;6606062;6022646;4139307;3710316;3274631;4067801;22326531;16304587;18030464;7804822;5020748;4397774;3171976
Maltose ;4921524;3346183;2654057;3809895;8813062;4377707;6610761;3214428;3480462;2654751;3110688;2799303;1948099;7707460;2274694;2217417;4257372;3209193;4012021;4918892;4884041;3595573;4772758;3574496;4477448;2958018;2734973;3191716;5012279;4151017;4213006;3784293;2899719;2158386;1791931;2450966;2343220;2585921;2926664;2631727;2884233;2896619;2988552;3379811;1747113;2332310;2590947;2549516;2777495;1552236;2030715;132021;2205572;2101486;2025380;2356544;2171100;166993;140824;2378932;1841694;2107141;288815;5239857;69664;2447201;1495326;2103881;2122805;2344537;3424095;1799244;281689;166006;3998385;3130117;1923118;1809583;2307178;2514712;1277020;3003896;4062630;3252210;132927;3186368;244721;1873845;4193367;727250;1887769;5853859;139192;2169826;2345592;1446359;5008167;4668583;5662868;2594994;3179631;4715603;4882693;3127223
Mannitol ;17358;16449;11267;12006;32426;24859;22599;28448;26670;56148;119097;26080;21653;43310;18722;25274;18071;20286;29257;27222;18676;28629;31723;28127;32059;14370;6409;17484;29102;19695;28808;37167;13644;10204;14404;12566;15363;11688;23580;12911;14692;22976;17315;12991;21091;24760;27605;10328;23008;10378;13450;13134;16497;10201;16799;15380;7449;12452;9312;13930;9088;18072;14865;9134;8347;19913;7320;10554;8788;16437;18018;15186;18832;14090;15961;13323;11243;13261;17302;13036;17209;16077;22058;21291;12660;17041;9949;9600;35794;22301;20756;37692;13603;10538;13021;10602;53851;41745;53478;16786;12954;10819;17297;15833
myo-inositol ;1777957;775821;1027535;1223639;2404641;2049204;1275000;1514084;4404518;3882020;4619866;5561131;3079495;4112415;4084124;4682739;2167083;2038328;1970375;2494129;3392271;2240824;2729985;3010671;2418086;2221708;1787916;2611039;3508367;2265327;2328555;2048183;1906503;1745210;1451207;1568935;1651969;1764978;1425006;1440425;3340009;2625548;3137701;2877214;2190930;2891271;3341052;2939553;3384180;2342415;2805292;3004920;3075398;2740825;2960246;2577646;2665715;2953893;2344855;3447370;2137078;2846032;2579809;3474750;1749424;3783744;2138151;2807340;2908314;3616007;2958118;2333330;3869214;3062858;2926525;2864057;2605314;2819465;3052462;2776803;2995928;3009489;3513649;3142403;2878772;2909973;1745779;2034987;4390430;3330790;3212552;4250575;1930164;2266887;1705206;1361061;4368472;3915408;5555983;1620818;2285303;2951955;2985725;2091395
Raffinose ;154171;145435;132554;139745;152699;140354;260976;230008;8901;13016;18229;13798;10638;10051;14704;3903;148921;89138;90627;149272;137377;122268;74034;194667;166552;49617;74034;85246;97494;66322;174667;61649;80904;81785;113305;141977;129889;72515;72618;85213;139844;216904;139874;136151;111226;52383;189987;160430;126659;80995;132199;123790;52709;65417;51860;139673;181000;173839;183411;217899;145497;110615;110282;1567481;101343;188653;113198;70178;133077;166562;213438;103418;551736;403941;277838;319683;297969;177974;137342;144723;462379;304865;183585;265609;205795;266389;188166;169843;188458;258051;190449;190664;87183;94136;160674;28873;963027;1009079;876137;163323;92557;135319;70506;78329
Sorbitol;147166;174001;102363;144801;371765;261680;243654;322743;195852;460354;143344;282319;230279;326158;270817;170987;89641;133833;235259;192387;155368;247928;240762;193604;172970;153382;66581;182957;193306;194389;238791;313782;146369;110951;150478;134711;163631;127548;306170;140831;150092;130377;130172;137424;246899;273793;259526;106794;204756;94261;133543;112223;137678;107363;133557;137992;79052;123844;84148;126784;86245;156510;158845;522421;65166;167050;77025;121408;92407;160050;117837;120961;160278;138939;147526;132151;118929;121551;161286;139311;147075;156431;207505;182168;125437;145795;104554;79206;225611;207209;223703;358990;120629;108454;96736;97189;499874;374863;419318;178365;104363;117636;86345;134507
Stachyose;91710;88883;91122;84376;91891;84958;89617;90625;83775;76810;82136;106775;87010;91140;74748;80890;89747;66825;80391;96403;93257;76488;95984;87243;102980;89709;83308;92979;94272;76373;89994;85905;81572;69918;73393;84184;73015;73533;89488;79173;102199;85868;83393;92377;82434;79938;96169;90865;93960;62690;74730;80997;71098;76159;72993;92782;75670;70691;68306;96467;73444;78255;83653;226399;39752;94238;57650;81749;77759;78258;102882;67300;106964;96494;97149;91151;94988;75342;85970;81723;91248;76451;79379;87623;73362;77064;61432;66423;77309;79349;81366;105117;65710;73251;70489;48276;193376;217889;169857;89061;69871;94275;92667;66372
Sucrose ;1384217;1747844;4789399;6819549;3399480;1454740;6480081;4779154;1750;2129;1887;5735;14352;19117;5990;4381;1006313;847199;516632;876280;1134778;4025327;741749;4062196;655719;516308;437315;669057;821483;624541;520259;576990;699292;440686;498046;780456;912902;874111;615283;1868115;611555;1007258;950998;1437496;2930179;634694;1470144;798561;765046;333512;461130;443990;235846;332521;339346;447138;1374929;1468196;1456114;1021834;987782;1665152;579639;2809476;488857;851328;553558;468637;855358;841206;1381149;537339;2347469;1320025;1145645;1319726;6643397;1567156;2658779;1047036;1905841;824727;485492;835919;2608540;1792506;959900;1523086;507320;860432;401625;312379;980839;483695;1323325;183660;3293881;2303208;2521316;521342;824230;418136;333865;383413
Trehalose;39243;25060;43582;106583;73648;71088;59795;78754;8262;9400;6758;9907;77218;55914;11835;9328;17708;14418;21465;26631;13228;10621;17038;12796;24060;69963;51705;46755;17304;12581;18836;26676;56805;45052;56133;72227;49384;55413;80229;55825;27709;22921;10979;13743;61187;49925;8730;14802;11689;42750;34724;40465;10382;7842;8107;6297;8135;11494;8618;12119;31222;14834;11721;31583;6159;27581;11303;30936;12208;9378;11166;13047;11696;9840;10145;23841;17425;12978;23343;11662;11421;11577;21346;23896;12893;12563;12496;3060;42982;34065;21174;29259;19170;14227;9719;11744;51720;65510;59706;89842;36459;51654;63760;34233
Fructose;12352460;17092801;20642730;19308371;24174081;22221839;24116345;23089785;26640238;28063670;35472825;67713646;28531988;39772489;32882110;23695626;18993787;18353585;17898965;23209597;35303613;27474911;24528998;20362734;24559767;22495919;22172846;31016401;26659286;17666392;21456718;21711598;31303813;16893596;17644827;25418155;20723994;23210378;32432777;32345166;22735196;17065496;17933439;17872800;28602935;19727928;23878985;12546571;19785528;13207950;19623338;14144762;12424010;14701795;12980768;21295617;13961856;15348557;11666153;17803673;13489854;16659175;16451680;59055748;7148542;22645130;10618272;13042352;14170357;17152533;21755516;10944620;19544195;18652106;15099283;15149279;17721700;15336300;13870584;16250821;18401167;16741488;21889486;16380257;15959788;15982283;11308700;10314567;16592428;15389077;18798663;30574131;9521220;11903786;13729094;8492581;38956595;26025195;32155019;23817917;12153764;10612119;14025317;10220132
Pro (aa);99010;81301;85470;76923;81301;85470;100000;90090;80645;82645;80645;84746;90090;85470;81301;97087;98039;83333;80000;87719;76336;96154;84034;91743;86207;89286;99010;84746;71942;93458;99010;96154;80645;87719;93458;87719;94340;81301;78740;91743;69444;82645;74627;84746;72993;83333;84034;96154;78740;80000;74074;86957;77519;89286;84746;93458;86207;95238;89286;95238;99010;88496;90090;66225;78125;71429;94340;90090;79365;75758;89286;92593;80645;86957;92593;100000;95238;90090;89286;76923;86957;64516;56180;76336;69930;66225;74074;93458;59524;69930;64103;#VALUE!;#DIV/0!;92593;84746;79365;74627;85470;72464;67568;74627;78125;67568;79365
Ser;22620;15773;19561;11762;15903;24095;14747;22444;21758;22524;18187;38185;23129;30598;20018;41291;26856;18323;17920;9233;19304;17642;21360;19987;21628;18345;12607;15360;13196;14589;15092;17266;13648;17129;10669;16547;15798;11805;13120;8969;16381;18184;13641;27352;9393;14765;17600;20974;8535;6482;8653;8444;8625;12536;9081;10204;16434;19243;11683;11187;11482;6505;11992;8149;11506;11959;11478;13715;7115;8473;12118;12714;11070;12328;21265;16615;7751;13329;11734;10923;12284;6031;6463;10503;7051;7529;11622;14530;25958;17103;21272;#VALUE!;0000;48818;18206;34495;6925;7403;8480;5180;6477;10170;6746;11899
Phe (aa);54469;108999;140153;106090;139373;178251;125260;144191;341775;362559;272008;548708;386004;402394;296339;627586;191617;117487;110049;62289;135122;166829;133409;134524;220865;122546;99789;118245;81298;103024;128273;137811;118065;140231;108770;144096;112281;86276;104394;73510;114225;144449;103213;200120;75897;105917;126460;135861;59734;46786;63044;66968;40984;82434;47248;77578;161141;117833;84320;79153;92016;49055;90709;60916;60734;75945;89070;79209;56349;56465;85521;54275;67229;78383;93017;103265;54199;80325;65674;68513;81837;37323;42720;51539;49130;57893;71828;81235;51089;38822;59077;#VALUE!;#DIV/0!;75951;67642;98355;46886;40295;44596;23209;45133;72049;44926;75766
Arg;168990;12768;15211;11304;15645;16374;10350;17533;63092;63999;47358;95361;77601;80219;54228;158812;21644;13571;13511;7056;10095;10883;13618;13915;16155;19092;10242;13772;9720;12138;11524;13073;10953;16209;10635;13439;13559;9535;9251;5885;11641;13900;10698;22997;5778;10099;12619;15401;6197;5367;5895;7545;7722;9912;8254;7508;14639;18149;10008;11204;9303;5869;9820;6444;9977;9291;13007;18160;6624;7463;9039;12026;7524;8599;18089;11935;5531;10262;12338;8108;8391;3983;4250;6586;5276;5199;7714;10169;6135;4776;5488;#VALUE!;#DIV/0!;19892;5320;11348;4541;4172;4372;2458;5009;7123;4298;8585
