"ID_REF";	"GSM131066";	"GSM131067";	"GSM131068";	"GSM131069";	"GSM131070";	"GSM131071";	"GSM131072";	"GSM131073";	"GSM131074";	"GSM131075";	"GSM131076";	"GSM131077";	"GSM131078"
"244911_at";	4.29836273193359E+000;	4.32092332839966E+000;	6.23195075988770E+000;	4.15621709823608E+000;	6.59815454483032E+000;	1.39765679836273E+000;	5.07408857345581E+000;	7.03403186798096E+000;	5.38999700546265E+000;	6.12608861923218E+000;	9.87132358551025E+000;	6.86233997344971E+000;	7.00354480743408E+000
"244912_at";	1.76062454223633E+002;	1.31502456665039E+002;	1.85896804809570E+002;	1.43919540405273E+002;	1.53698638916016E+002;	1.70799804687500E+002;	1.41876495361328E+002;	1.64158706665039E+002;	1.24529014587402E+002;	1.36606369018555E+002;	1.46587768554688E+002;	1.85876632690430E+002;	1.31701065063477E+002
"244913_at";	4.66640424728394E+000;	1.59495735168457E+001;	1.56996250152588E+001;	9.29785156250000E+000;	1.31158142089844E+001;	1.92030830383301E+001;	1.84710540771484E+001;	1.69246368408203E+001;	1.33798732757568E+001;	4.53992748260498E+000;	1.10551815032959E+001;	1.08465785980225E+001;	1.10497236251831E+001
"244914_at";	5.74072360992432E-001;	1.00618326663971E+000;	8.94162237644196E-001;	8.01390886306763E-001;	4.81230676174164E-001;	6.41541063785553E-001;	3.20808219909668E+000;	1.64012181758881E+000;	5.54423689842224E-001;	6.35453522205353E-001;	8.02048981189728E-001;	1.08300662040710E+000;	5.78948140144348E-001
"244915_s_at";	4.70069217681885E+000;	1.19200038909912E+001;	1.48740065097809E+000;	4.48137378692627E+000;	4.28294515609741E+000;	3.68291950225830E+000;	2.64033818244934E+000;	2.90091347694397E+000;	1.99302506446838E+000;	1.43465709686279E+000;	8.25345611572266E+000;	9.04834270477295E+000;	8.44894313812256E+000
"244916_at";	9.39451885223389E+000;	1.26454753875732E+001;	2.98203635215759E+000;	2.88552880287170E+000;	5.07295942306519E+000;	1.21103792190552E+001;	1.14801301956177E+001;	7.46253538131714E+000;	5.40374803543091E+000;	2.69433879852295E+000;	3.34546422958374E+000;	2.84348082542419E+000;	2.38012552261353E+000
"244917_at";	8.55011105537415E-001;	9.10830259323120E-001;	1.90472209453583E+000;	1.71014380455017E+000;	1.55758333206177E+000;	1.66379785537720E+000;	1.31531143188477E+000;	1.84463107585907E+000;	6.28815531730652E-001;	7.93110013008118E-001;	1.70174705982208E+000;	1.31519258022308E+000;	7.15560555458069E-001
"244918_at";	1.35399475097656E+001;	1.80684995651245E+000;	9.10193634033203E+000;	1.14404182434082E+001;	1.03207788467407E+001;	1.08869771957397E+001;	7.84775876998901E+000;	1.63189792633057E+001;	6.12620687484741E+000;	5.17376661300659E+000;	8.21093750000000E+000;	1.45638427734375E+001;	1.01769685745239E+001
"244919_at";	8.22245502471924E+000;	5.80911779403687E+000;	9.34119510650635E+000;	5.62077045440674E+000;	1.13075971603394E+001;	5.17958021163940E+000;	5.75446128845215E+000;	6.39105987548828E+000;	1.03357839584351E+001;	5.41736316680908E+000;	5.38053464889526E+000;	8.09518337249756E+000;	7.34210729598999E+000
"244920_s_at";	1.31751220703125E+002;	1.28566238403320E+002;	1.15939071655273E+002;	1.27961914062500E+002;	1.10946800231934E+002;	1.26527725219727E+002;	1.39288467407227E+002;	9.45728225708008E+001;	8.60779800415039E+001;	8.22995910644531E+001;	7.99453277587891E+001;	1.24185218811035E+002;	8.36398620605469E+001
